"date" "RM" "measurand" "mean.before" "mean.after" "median.before" "median.after" "median.after.noPP" "unit" "sL" "sbb" "sbb" "u" "u.alternative" "t.value" "outlier" "labs remaining" "based on" "property value" "U"
2014-07-25 "GAS" "Co" 106.4 106.3 107.9 107.9 106.4 "mg/kg" 12.9 1.81 1.813 0.837 0.837 2.09 33 21 "median" 107.9 1.75
2014-07-25 "GAS" "Co" 106.4 106.3 107.9 107.9 106.4 "mg/kg" 12.9 1.81 1.813 0.837 0.837 2.09 31 21 "median" 107.9 1.75
2014-07-25 "GAS" "Co" 106.4 106.3 107.9 107.9 106.4 "mg/kg" 12.9 1.81 1.813 0.837 0.837 2.09 24 21 "median" 107.9 1.75
2014-07-25 "GAS" "Cr" 2686 2751 2740 2757 2744 "mg/kg" 6280 883 883.3 18.9 18.9 2.09 10 20 "median" 2757 39.6
2014-07-25 "GAS" "Cr" 2686 2751 2740 2757 2744 "mg/kg" 6280 883 883.3 18.9 18.9 2.09 6 20 "median" 2757 39.6
2014-07-25 "GAS" "Cr" 2686 2751 2740 2757 2744 "mg/kg" 6280 883 883.3 18.9 18.9 2.09 26 20 "median" 2757 39.6
2014-07-25 "GAS" "Cr" 2686 2751 2740 2757 2744 "mg/kg" 6280 883 883.3 18.9 18.9 2.09 33 20 "median" 2757 39.6
2014-07-25 "GAS" "Cr" 2686 2751 2740 2757 2744 "mg/kg" 6280 883 883.3 18.9 18.9 2.09 31 20 "median" 2757 39.6
2014-07-25 "GAS" "Cr" 2686 2751 2740 2757 2744 "mg/kg" 6280 883 883.3 18.9 18.9 2.09 24 20 "median" 2757 39.6
2014-07-25 "GAS" "Cs" 0.03091 0.02975 0.02957 0.0294 0.0294 "mg/kg" 2.89e-06 4.07e-07 4.066e-07 0.000504 0.000504 2.18 10 13 "median" 0.0294 0.0011
2014-07-25 "GAS" "Cs" 0.03091 0.02975 0.02957 0.0294 0.0294 "mg/kg" 2.89e-06 4.07e-07 4.066e-07 0.000504 0.000504 2.18 6 13 "median" 0.0294 0.0011
2014-07-25 "GAS" "Cs" 0.03091 0.02975 0.02957 0.0294 0.0294 "mg/kg" 2.89e-06 4.07e-07 4.066e-07 0.000504 0.000504 2.18 26 13 "median" 0.0294 0.0011
2014-07-25 "GAS" "Cs" 0.03091 0.02975 0.02957 0.0294 0.0294 "mg/kg" 2.89e-06 4.07e-07 4.066e-07 0.000504 0.000504 2.18 33 13 "median" 0.0294 0.0011
2014-07-25 "GAS" "Cs" 0.03091 0.02975 0.02957 0.0294 0.0294 "mg/kg" 2.89e-06 4.07e-07 4.066e-07 0.000504 0.000504 2.18 31 13 "median" 0.0294 0.0011
2014-07-25 "GAS" "Cs" 0.03091 0.02975 0.02957 0.0294 0.0294 "mg/kg" 2.89e-06 4.07e-07 4.066e-07 0.000504 0.000504 2.18 24 13 "median" 0.0294 0.0011
2014-07-25 "GAS" "Cu" 7.529 7.429 7.121 7.121 7.058 "mg/kg" 0.92 0.129 0.1293 0.248 0.248 2.12 10 17 "median" 7.121 0.527
2014-07-25 "GAS" "Cu" 7.529 7.429 7.121 7.121 7.058 "mg/kg" 0.92 0.129 0.1293 0.248 0.248 2.12 6 17 "median" 7.121 0.527
2014-07-25 "GAS" "Cu" 7.529 7.429 7.121 7.121 7.058 "mg/kg" 0.92 0.129 0.1293 0.248 0.248 2.12 26 17 "median" 7.121 0.527
2014-07-25 "GAS" "Cu" 7.529 7.429 7.121 7.121 7.058 "mg/kg" 0.92 0.129 0.1293 0.248 0.248 2.12 33 17 "median" 7.121 0.527
2014-07-25 "GAS" "Cu" 7.529 7.429 7.121 7.121 7.058 "mg/kg" 0.92 0.129 0.1293 0.248 0.248 2.12 31 17 "median" 7.121 0.527
2014-07-25 "GAS" "Cu" 7.529 7.429 7.121 7.121 7.058 "mg/kg" 0.92 0.129 0.1293 0.248 0.248 2.12 24 17 "median" 7.121 0.527
2014-07-25 "GAS" "Dy" 0.05576 0.05659 0.05592 0.05596 0.05596 "mg/kg" 1.34e-05 1.88e-06 1.884e-06 0.000977 0.000977 2.13 10 16 "median" 0.05596 0.00208
2014-07-25 "GAS" "Dy" 0.05576 0.05659 0.05592 0.05596 0.05596 "mg/kg" 1.34e-05 1.88e-06 1.884e-06 0.000977 0.000977 2.13 6 16 "median" 0.05596 0.00208
2014-07-25 "GAS" "Dy" 0.05576 0.05659 0.05592 0.05596 0.05596 "mg/kg" 1.34e-05 1.88e-06 1.884e-06 0.000977 0.000977 2.13 26 16 "median" 0.05596 0.00208
2014-07-25 "GAS" "Dy" 0.05576 0.05659 0.05592 0.05596 0.05596 "mg/kg" 1.34e-05 1.88e-06 1.884e-06 0.000977 0.000977 2.13 33 16 "median" 0.05596 0.00208
2014-07-25 "GAS" "Dy" 0.05576 0.05659 0.05592 0.05596 0.05596 "mg/kg" 1.34e-05 1.88e-06 1.884e-06 0.000977 0.000977 2.13 31 16 "median" 0.05596 0.00208
2014-07-25 "GAS" "Dy" 0.05576 0.05659 0.05592 0.05596 0.05596 "mg/kg" 1.34e-05 1.88e-06 1.884e-06 0.000977 0.000977 2.13 24 16 "median" 0.05596 0.00208
2014-07-25 "GAS" "Er" 0.04198 0.04295 0.04317 0.0434 0.0434 "mg/kg" 6.66e-06 9.36e-07 9.36e-07 0.000711 0.000711 2.14 10 15 "median" 0.0434 0.00153
2014-07-25 "GAS" "Er" 0.04198 0.04295 0.04317 0.0434 0.0434 "mg/kg" 6.66e-06 9.36e-07 9.36e-07 0.000711 0.000711 2.14 6 15 "median" 0.0434 0.00153
2014-07-25 "GAS" "Er" 0.04198 0.04295 0.04317 0.0434 0.0434 "mg/kg" 6.66e-06 9.36e-07 9.36e-07 0.000711 0.000711 2.14 26 15 "median" 0.0434 0.00153
